"","found_taxa","worms_name","verbatim_name","gbif_name","ncbi_name","ncbi_commonname","gbif_usagekey","ncbi_uid","gbif_status","worms_aphiaid","worms_status","freshwater_only","kingdom","phylum","class","order","family","genus","compare_name","in_region"
"39","Semaprochilodus taeniurus","Semaprochilodus taeniurus","Semaprochilodus taeniurus","Semaprochilodus taeniurus","Semaprochilodus taeniurus","silver prochilodus",2352134,627180,"accepted",1150190,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Semaprochilodus","Semaprochilodus taeniurus","no"
"40","Salmo salar","Salmo salar","Salmo salar","Salmo salar","Salmo salar","Atlantic salmon",7595433,8030,"accepted",127186,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","yes"
"41","Salmo trutta","Salmo trutta","Salmo trutta","Salmo trutta","Salmo trutta","river trout",8215487,8032,"accepted",127187,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo trutta","yes"
"42","Salvelinus leucomaenis","Salvelinus leucomaenis","Salvelinus leucomaenis","Salvelinus leucomaenis","Salvelinus leucomaenis","whitespotted char",4284019,8034,"accepted",293725,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus leucomaenis","no"
"43","Salmo labrax","Salmo labrax","Salmo labrax","Salmo labrax","Salmo labrax","Black sea salmon",2351566,700588,"accepted",274350,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo labrax","no"
"44","Salvelinus leucomaenis japonicus",NA,"Salvelinus leucomaenis japonicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus leucomaenis japonicus",NA
"45","Salvelinus malma","Salvelinus malma","Salvelinus malma","Salvelinus malma","Salvelinus malma","Dolly Varden",4284020,8039,"accepted",254570,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus malma","yes"
"46","Salmo obtusirostris","Salmo obtusirostris","Salmo obtusirostris","Salmo obtusirostris","Salmo obtusirostris","Adriatic trout",2351604,237411,"accepted",994325,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo obtusirostris","no"
"47","Salvelinus leucomaenis pluvius",NA,"Salvelinus leucomaenis pluvius","Salvelinus leucomaenis pluvius","Salvelinus leucomaenis pluvius",NA,6169567,8035,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus leucomaenis pluvius","no"
"48","Salvelinus kuznetzovi","Salvelinus kuznetzovi","Salvelinus kuznetzovi","Salvelinus kuznetzovi","Salvelinus kuznetzovi",NA,2351257,565044,"accepted",1015622,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus kuznetzovi","no"
"49","Parahucho perryi","Parahucho perryi","Parahucho perryi","Parahucho perryi","Parahucho perryi","Japanese huchen",2351406,8042,"accepted",320038,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Parahucho","Parahucho perryi","no"
"50","Salmo trutta fario",NA,"Salmo trutta fario","Salmo trutta fario","Salmo trutta fario","river trout",6169666,99804,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo trutta fario","yes"
"51","Salvelinus albus","Salvelinus albus","Salvelinus albus","Salvelinus albus","Salvelinus albus","white char",2351278,83385,"accepted",274351,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus albus","no"
"52","Salmo trutta trutta",NA,"Salmo trutta trutta","Salmo trutta trutta","Salmo trutta trutta","sea trout",9107781,227976,"accepted",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo trutta trutta","no"
"53","Salvelinus malma malma",NA,"Salvelinus malma malma","Salvelinus malma malma","Salvelinus malma malma",NA,7059130,85063,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus malma malma","no"
