"","ncbi_species","canonicalname","rank","gbif_status","query","worms_query","worms_sciname","worms_aphiaid","original_aphiaid","worms_match","status","unacceptreason","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","compare_name","in_region"
"44","Salmo labrax","Salmo labrax","species","ACCEPTED","Salmo labrax","Salmo+labrax","Salmo labrax",274350,274350,"Salmo labrax","accepted",NA,"Pallas, 1814","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",0,0,"Salmo labrax","no"
"45","Salvelinus leucomaenis japonicus",NA,NA,NA,"Salvelinus leucomaenis japonicus","Salvelinus+leucomaenis+japonicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salvelinus leucomaenis japonicus","no"
"46","Salvelinus malma","Salvelinus malma","species","ACCEPTED","Salvelinus malma","Salvelinus+malma","Salvelinus malma",254570,254570,"Salvelinus malma","accepted",NA,"(Walbaum, 1792)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus malma","yes"
"47","Salmo obtusirostris","Salmo obtusirostris","species","ACCEPTED","Salmo obtusirostris","Salmo+obtusirostris","Salmo obtusirostris",994325,994325,"Salmo obtusirostris","accepted",NA,"(Heckel, 1851)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",1,0,"Salmo obtusirostris","no"
"48","Salvelinus leucomaenis pluvius","Salvelinus leucomaenis pluvius","subspecies","SYNONYM","Salvelinus leucomaenis pluvius","Salvelinus+leucomaenis+pluvius","Salvelinus leucomaenis",293725,293726,"Salvelinus leucomaenis pluvius","unaccepted",NA,"(Pallas, 1814)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus leucomaenis","no"
"49","Salvelinus kuznetzovi","Salvelinus kuznetzovi","species","ACCEPTED","Salvelinus kuznetzovi","Salvelinus+kuznetzovi","Salvelinus kuznetzovi",1015622,1015622,"Salvelinus kuznetzovi","accepted",NA,"Taranetz, 1933","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",1,0,"Salvelinus kuznetzovi","no"
"50","Parahucho perryi","Parahucho perryi","species","ACCEPTED","Parahucho perryi","Parahucho+perryi","Parahucho perryi",320038,320038,"Parahucho perryi","accepted",NA,"(Brevoort, 1856)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Parahucho",0,0,"Parahucho perryi","no"
"51","Salmo trutta fario","Salmo trutta fario","subspecies","SYNONYM","Salmo trutta fario","Salmo+trutta+fario","Salmo trutta",127187,293723,"Salmo trutta fario","unaccepted",NA,"Linnaeus, 1758","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",0,0,"Salmo trutta","yes"
"52","Salvelinus albus","Salvelinus albus","species","ACCEPTED","Salvelinus albus","Salvelinus+albus","Salvelinus albus",274351,274351,"Salvelinus albus","accepted",NA,"Glubokovsky, 1977","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus albus","no"
"53","Salmo trutta trutta","Salmo trutta trutta","variety","ACCEPTED","Salmo trutta trutta","Salmo+trutta+trutta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salmo trutta trutta","no"
"54","Salvelinus malma malma","Salvelinus malma malma","subspecies","SYNONYM","Salvelinus malma malma","Salvelinus+malma+malma","Salvelinus malma",254570,293728,"Salvelinus malma malma","unaccepted",NA,"(Walbaum, 1792)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus malma","yes"
"55","Salvelinus alpinus erythrinus","Salvelinus alpinus erythrinus","subspecies","SYNONYM","Salvelinus alpinus erythrinus","Salvelinus+alpinus+erythrinus","Salvelinus alpinus",127188,1626895,"Salvelinus alpinus erythrinus","unaccepted","junior synonym","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus alpinus","yes"
"56","Salvelinus levanidovi","Salvelinus levanidovi","species","ACCEPTED","Salvelinus levanidovi","Salvelinus+levanidovi","Salvelinus levanidovi",274354,274354,"Salvelinus levanidovi","accepted",NA,"Chereshnev, Skopets & Gudkov, 1989","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus levanidovi","no"
"57","Salvelinus leucomaenis leucomaenis","Salvelinus leucomaenis leucomaenis","subspecies","SYNONYM","Salvelinus leucomaenis leucomaenis","Salvelinus+leucomaenis+leucomaenis","Salvelinus leucomaenis",293725,274353,"Salvelinus leucomaenis leucomaenis","unaccepted",NA,"(Pallas, 1814)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus leucomaenis","no"
"58","Salvelinus leucomaenis imbrius","Salvelinus leucomaenis imbrius","subspecies","SYNONYM","Salvelinus leucomaenis imbrius","Salvelinus+leucomaenis+imbrius","Salvelinus leucomaenis",293725,1529171,"Salvelinus leucomaenis imbrius","unaccepted",NA,"(Pallas, 1814)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus leucomaenis","no"
"59","Salvelinus curilus","Salvelinus curilus","species","ACCEPTED","Salvelinus curilus","Salvelinus+curilus","Salvelinus curilus",1026965,1026965,"Salvelinus curilus","accepted",NA,"(Pallas, 1814)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus curilus","no"
"60","Salmo ischchan","Salmo ischchan","species","ACCEPTED","Salmo ischchan","Salmo+ischchan","Salmo ischchan",1019744,1019744,"Salmo ischchan","accepted",NA,"Kessler, 1877","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",1,0,"Salmo ischchan","no"
"61","Salmo ischchan gegarkuni","Salmo ischchan gegarkuni","subspecies","SYNONYM","Salmo ischchan gegarkuni","Salmo+ischchan+gegarkuni","Salmo ischchan",1019744,1626672,"Salmo ischchan gegarkuni","unaccepted","junior synonym","Kessler, 1877","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",1,0,"Salmo ischchan","no"
"62","Salvelinus alpinus","Salvelinus alpinus","species","ACCEPTED","Salvelinus alpinus","Salvelinus+alpinus","Salvelinus alpinus",127188,127188,"Salvelinus alpinus","accepted",NA,"(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus alpinus","yes"
"63","Salvelinus kronocius","Salvelinus kronocius","species","ACCEPTED","Salvelinus kronocius","Salvelinus+kronocius","Salvelinus kronocius",1012527,1012527,"Salvelinus kronocius","accepted",NA,"Viktorovsky, 1978","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",1,0,"Salvelinus kronocius","no"
"64","Salvelinus alpinus alpinus","Salvelinus alpinus alpinus","subspecies","SYNONYM","Salvelinus alpinus alpinus","Salvelinus+alpinus+alpinus","Salvelinus alpinus",127188,293724,"Salvelinus alpinus alpinus","unaccepted",NA,"(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus alpinus","yes"
