found_taxa,worms_sciname,ncbi_species,gbif_name,rank,gbif_status,query,worms_aphiaid,worms_status,unacceptreason,freshwater_only,kingdom,phylum,class,order,family,genus
Eviota kermadecensis,Eviota kermadecensis,Eviota kermadecensis,Eviota kermadecensis,species,ACCEPTED,Eviota kermadecensis,834943,accepted,NA,0,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Eviota
Xeniamia atrithorax,Xeniamia atrithorax,Xeniamia atrithorax,Xeniamia atrithorax,species,ACCEPTED,Xeniamia atrithorax,1495366,accepted,NA,0,Animalia,Chordata,Teleostei,Kurtiformes,Apogonidae,Xeniamia
Monotaxis grandoculis,Monotaxis grandoculis,Monotaxis grandoculis,Monotaxis grandoculis,species,ACCEPTED,Monotaxis grandoculis,218584,accepted,NA,0,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lethrinidae,Monotaxis
Promethichthys prometheus,Promethichthys prometheus,Promethichthys prometheus,Promethichthys prometheus,species,ACCEPTED,Promethichthys prometheus,126866,accepted,NA,0,Animalia,Chordata,Teleostei,Scombriformes,Gempylidae,Promethichthys
Tylosurus melanotus,Tylosurus melanotus,Tylosurus acus melanotus,Tylosurus acus melanotus,subspecies,ACCEPTED,Tylosurus acus melanotus,213650,unaccepted,NA,0,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Tylosurus
Tylosurus acus,Tylosurus acus,Tylosurus acus,Tylosurus acus,species,ACCEPTED,Tylosurus acus,126378,accepted,NA,0,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Tylosurus
Parascorpaena mossambica,Parascorpaena mossambica,Parascorpaena mossambica,Parascorpaena mossambica,species,ACCEPTED,Parascorpaena mossambica,218066,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Parascorpaena
Diretmus argenteus,Diretmus argenteus,Diretmus argenteus,Diretmus argenteus,species,ACCEPTED,Diretmus argenteus,126398,accepted,NA,0,Animalia,Chordata,Teleostei,Trachichthyiformes,Diretmidae,Diretmus
Tylosurus crocodilus,Tylosurus crocodilus,Tylosurus crocodilus crocodilus,Tylosurus crocodilus crocodilus,subspecies,SYNONYM,Tylosurus crocodilus crocodilus,159259,unaccepted,NA,0,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Tylosurus
Stenobrachius leucopsarus,Stenobrachius leucopsarus,Stenobrachius leucopsarus,Stenobrachius leucopsarus,species,ACCEPTED,Stenobrachius leucopsarus,254363,accepted,NA,0,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius
Gymnocranius sp. MOH-079,NA,Gymnocranius sp. MOH-079,NA,NA,NA,Gymnocranius sp. MOH-079,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gymnocranius
Stenobrachius nannochir,Stenobrachius nannochir,Stenobrachius nannochir,Stenobrachius nannochir,species,ACCEPTED,Stenobrachius nannochir,254364,accepted,NA,0,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius
Anguilla reinhardtii,Anguilla reinhardtii,Anguilla reinhardtii,Anguilla reinhardtii,species,ACCEPTED,Anguilla reinhardtii,271711,accepted,NA,0,Animalia,Chordata,Teleostei,Anguilliformes,Anguillidae,Anguilla
Sebastapistes tinkhami,Sebastapistes tinkhami,Sebastapistes tinkhami,Sebastapistes tinkhami,species,ACCEPTED,Sebastapistes tinkhami,218113,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Sebastapistes
Upeneus taeniopterus,Upeneus taeniopterus,Upeneus taeniopterus,Upeneus taeniopterus,species,ACCEPTED,Upeneus taeniopterus,218685,accepted,NA,0,Animalia,Chordata,Teleostei,Mulliformes,Mullidae,Upeneus
Diretmoides veriginae,Diretmoides veriginae,Diretmoides veriginae,Diretmoides veriginae,species,ACCEPTED,Diretmoides veriginae,272205,accepted,NA,0,Animalia,Chordata,Teleostei,Trachichthyiformes,Diretmidae,Diretmoides
Retropinna semoni,Retropinna semoni,Retropinna semoni,Retropinna semoni,species,ACCEPTED,Retropinna semoni,282569,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Retropinnidae,Retropinna
Scatophagus argus,Scatophagus argus,Scatophagus argus,Scatophagus argus,species,ACCEPTED,Scatophagus argus,276970,accepted,NA,0,Animalia,Chordata,Teleostei,Acanthuriformes,Scatophagidae,Scatophagus
Ophiodon elongatus,Ophiodon elongatus,Ophiodon elongatus,Ophiodon elongatus,species,ACCEPTED,Ophiodon elongatus,240745,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Ophiodon
Hexagrammos agrammus,Hexagrammos agrammus,Hexagrammos agrammus,Hexagrammos agrammus,species,ACCEPTED,Hexagrammos agrammus,279410,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Hexagrammos lagocephalus,Hexagrammos lagocephalus,Hexagrammos lagocephalus,Hexagrammos lagocephalus,species,ACCEPTED,Hexagrammos lagocephalus,240735,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Hexagrammos octogrammus,Hexagrammos octogrammus,Hexagrammos octogrammus,Hexagrammos octogrammus,species,ACCEPTED,Hexagrammos octogrammus,254544,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Hexagrammos stelleri,Hexagrammos stelleri,Hexagrammos stelleri,Hexagrammos stelleri,species,ACCEPTED,Hexagrammos stelleri,254545,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Taurocottus bergii,Taurocottus bergii,Taurocottus bergii,Taurocottus bergii,species,ACCEPTED,Taurocottus bergii,282937,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Taurocottus
