"","accepted_name","verbatim_name","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","fishbase_name"
"260","Uropterygius polystictus","Uropterygius polystictus","accepted","Uropterygius polystictus",NA,"species","Actinopteri","Anguilliformes","Muraenidae","Uropterygius",TRUE,FALSE,FALSE,277954,NA,"Uropterygius polystictus"
"261","Enneanectes exsul","Enneanectes exsul","accepted","Enneanectes exsul",NA,"species","Actinopteri","Blenniiformes","Tripterygiidae","Enneanectes",TRUE,FALSE,FALSE,835051,NA,"Enneanectes exsul"
"262","Parrella maxillaris","Parrella maxillaris","accepted","Parrella maxillaris",NA,"species","Actinopteri","Gobiiformes","Gobiidae","Parrella",TRUE,FALSE,FALSE,282174,NA,"Parrella maxillaris"
"263","Dactylagnus parvus","Dactylagnus parvus","accepted","Dactylagnus parvus",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Dactylagnus",TRUE,FALSE,FALSE,280471,NA,"Dactylagnus parvus"
"264","Acanthemblemaria hastingsi","Acanthemblemaria hastingsi","accepted","Acanthemblemaria hastingsi",NA,"species","Actinopteri","Blenniiformes","Chaenopsidae","Acanthemblemaria",TRUE,FALSE,FALSE,712821,NA,"Acanthemblemaria hastingsi"
"265","Diplectrum rostrum","Diplectrum rostrum","accepted","Diplectrum rostrum",NA,"species","Actinopteri","Perciformes","Serranidae","Diplectrum",TRUE,FALSE,FALSE,276185,NA,"Diplectrum rostrum"
"266","Leptenchelys vermiformis","Leptenchelys vermiformis","accepted","Leptenchelys vermiformis",NA,"species","Actinopteri","Anguilliformes","Ophichthidae","Leptenchelys",TRUE,FALSE,FALSE,281311,NA,"Leptenchelys vermiformis"
"267","Opistognathus walkeri","Opistognathus walkeri","accepted","Opistognathus walkeri",NA,"species","Actinopteri","Ovalentaria incertae sedis","Opistognathidae","Opistognathus",TRUE,FALSE,FALSE,293666,NA,"Opistognathus walkeri"
"268","Eptatretus sinus","Eptatretus sinus","accepted","Eptatretus sinus",NA,"species","Myxini","Myxiniformes","Myxinidae","Eptatretus",TRUE,FALSE,FALSE,279296,NA,"Eptatretus sinus"
"269","Pachycara suspectum","Pachycara suspectum","accepted","Pachycara suspectum",NA,"species","Actinopteri","Perciformes","Zoarcidae","Pachycara",TRUE,FALSE,FALSE,274150,NA,"Pachycara suspectum"
"270","Evermannia longipinnis","Evermannia longipinnis","accepted","Evermannia longipinnis",NA,"species","Actinopteri","Gobiiformes","Gobiidae","Evermannia",TRUE,FALSE,FALSE,280761,NA,"Evermannia longipinnis"
"271","Larimus effulgens","Larimus effulgens","accepted","Larimus effulgens",NA,"species","Actinopteri","Eupercaria incertae sedis","Sciaenidae","Larimus",TRUE,FALSE,FALSE,276130,NA,"Larimus effulgens"
"272","Ogilbia robertsoni","Ogilbia robertsoni","accepted","Ogilbia robertsoni",NA,"species","Actinopteri","Ophidiiformes","Bythitidae","Ogilbia",TRUE,FALSE,FALSE,281854,NA,"Ogilbia robertsoni"
"273","Clarkichthys bilineatus","Clarkichthys bilineatus","accepted","Clarkichthys bilineatus",NA,"species","Actinopteri","Perciformes","Microdesmidae","Clarkichthys",TRUE,FALSE,FALSE,280208,NA,"Clarkichthys bilineatus"
"274","Menticirrhus panamensis","Menticirrhus panamensis","accepted","Menticirrhus panamensis",NA,"species","Actinopteri","Eupercaria incertae sedis","Sciaenidae","Menticirrhus",TRUE,FALSE,FALSE,276149,NA,"Menticirrhus panamensis"
"275","Oligoplites refulgens","Oligoplites refulgens","accepted","Oligoplites refulgens",NA,"species","Actinopteri","Carangiformes","Carangidae","Oligoplites",TRUE,TRUE,FALSE,276358,NA,"Oligoplites refulgens"
"276","Opistognathus fossoris","Opistognathus fossoris","accepted","Opistognathus fossoris",NA,"species","Actinopteri","Ovalentaria incertae sedis","Opistognathidae","Opistognathus",TRUE,FALSE,FALSE,293664,NA,"Opistognathus fossoris"
