asv,lca_rank,lca_taxon,kingdom,phylum,class,order,family,genus,species,method,survey,marker
ASV1615,species,Capitella,Eukaryota,Annelida,Polychaeta,unknown order,Capitellidae,unknown genus,Capitella,best hit,calvert,coi
ASV1619,class,Hexanauplia,Eukaryota,Arthropoda,Hexanauplia,no identification,no identification,no identification,no identification,lca,calvert,coi
ASV162,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1621,class,Hexanauplia,Eukaryota,Arthropoda,Hexanauplia,no identification,no identification,no identification,no identification,lca,calvert,coi
ASV1622,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1624,species,Synchaeta grimpei,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta grimpei,lca,calvert,coi
ASV1629,species,Scolelepis squamata,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,Scolelepis squamata,best hit,calvert,coi
ASV1634,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,calvert,coi
ASV1636,species,Malmgreniella nigralba,Eukaryota,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella,Malmgreniella nigralba,best hit,calvert,coi
ASV164,species,Chthamalus fragilis,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Chthamalidae,Chthamalus,Chthamalus fragilis,best hit,calvert,coi
ASV1643,class,Hexanauplia,Eukaryota,Arthropoda,Hexanauplia,no identification,no identification,no identification,no identification,lca,calvert,coi
ASV1644,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1645,species,Calanus pacificus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus,best hit,calvert,coi
ASV1648,species,Acartia longiremis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia longiremis,best hit,calvert,coi
ASV165,species,Amonardia perturbata,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Amonardia,Amonardia perturbata,best hit,calvert,coi
ASV1651,species,Armandia brevis,Eukaryota,Annelida,Polychaeta,unknown order,Opheliidae,Armandia,Armandia brevis,best hit,calvert,coi
ASV1657,species,Capitella,Eukaryota,Annelida,Polychaeta,unknown order,Capitellidae,unknown genus,Capitella,best hit,calvert,coi
ASV1659,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,calvert,coi
ASV1663,species,Chthamalus dalli,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Chthamalidae,Chthamalus,Chthamalus dalli,best hit,calvert,coi
ASV1666,species,Synchaeta baltica,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta baltica,lca,calvert,coi
ASV1670,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV1671,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1672,species,Membranipora,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,unknown genus,Membranipora,best hit,calvert,coi
ASV1674,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1675,species,Amphipholis squamata,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,Amphipholis squamata,best hit,calvert,coi
ASV1677,species,Cyclopoida,Eukaryota,Arthropoda,Hexanauplia,unknown order,unknown family,unknown genus,Cyclopoida,best hit,calvert,coi
ASV168,species,Glycera robusta,Eukaryota,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera robusta,best hit,calvert,coi
ASV1680,species,Spiochaetopterus,Eukaryota,Annelida,Polychaeta,unknown order,Chaetopteridae,unknown genus,Spiochaetopterus,best hit,calvert,coi
ASV1681,species,Paracalanus sp. C AC-2013,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013,best hit,calvert,coi
ASV1683,species,Laophontidae sp. BMBM-1017,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Laophontidae,unknown genus,Laophontidae sp. BMBM-1017,lca,calvert,coi
ASV1684,species,Polynoidae,Eukaryota,Annelida,Polychaeta,Phyllodocida,unknown family,unknown genus,Polynoidae,best hit,calvert,coi
ASV1689,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV169,species,Tisbe sp. FHL 3,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Tisbidae,Tisbe,Tisbe sp. FHL 3,best hit,calvert,coi
ASV1690,species,Centropages abdominalis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages abdominalis,best hit,calvert,coi
ASV1695,species,Pseudocalanus acuspes,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus acuspes,best hit,calvert,coi
ASV1698,species,Acartia longiremis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia longiremis,best hit,calvert,coi
ASV17,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV170,species,Spionidae,Eukaryota,Annelida,Polychaeta,Spionida,unknown family,unknown genus,Spionidae,best hit,calvert,coi
ASV1700,species,Pseudocalanus newmani,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani,best hit,calvert,coi
ASV1702,order,Ploima,Eukaryota,Rotifera,Eurotatoria,Ploima,no identification,no identification,no identification,lca,calvert,coi
ASV1703,species,Phascolosoma agassizii,Eukaryota,Sipuncula,unknown class,Phascolosomatiformes,Phascolosomatidae,Phascolosoma,Phascolosoma agassizii,best hit,calvert,coi
ASV1704,species,Acartia longiremis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia longiremis,best hit,calvert,coi
ASV1707,species,Pleurobrachia bachei,Eukaryota,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,Pleurobrachia bachei,best hit,calvert,coi
ASV1710,species,Membranipora membranacea,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,best hit,calvert,coi
ASV1712,species,Oxydromus pugettensis,Eukaryota,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus pugettensis,best hit,calvert,coi
ASV1713,species,Acartia longiremis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia longiremis,best hit,calvert,coi
ASV1714,species,Centropages abdominalis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages abdominalis,best hit,calvert,coi
ASV1715,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1724,species,Chthamalus dalli,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Chthamalidae,Chthamalus,Chthamalus dalli,best hit,calvert,coi
ASV1725,species,Paracalanus parvus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus,best hit,calvert,coi
ASV173,species,Polynoidae,Eukaryota,Annelida,Polychaeta,Phyllodocida,unknown family,unknown genus,Polynoidae,best hit,calvert,coi
ASV1731,species,Halosydna brevisetosa,Eukaryota,Annelida,Polychaeta,Phyllodocida,Polynoidae,Halosydna,Halosydna brevisetosa,best hit,calvert,coi
ASV1733,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,lca,calvert,coi
ASV1735,species,Sarsamphiascus undosus,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Sarsamphiascus,Sarsamphiascus undosus,best hit,calvert,coi
ASV174,species,Synchaeta baltica,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta baltica,lca,calvert,coi
ASV1742,species,Synchaeta grimpei,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta grimpei,lca,calvert,coi
ASV1743,species,Paracalanus sp. C AC-2013,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013,best hit,calvert,coi
ASV1746,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1748,species,Pollicipes polymerus,Eukaryota,Arthropoda,Hexanauplia,Pedunculata,Pollicipedidae,Pollicipes,Pollicipes polymerus,best hit,calvert,coi
ASV1753,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1755,species,Synchaeta vorax,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta vorax,lca,calvert,coi
ASV1757,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1758,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV176,species,Paleanotus bellis,Eukaryota,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,Paleanotus bellis,best hit,calvert,coi
ASV1761,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1762,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV1766,species,Calanus pacificus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus,best hit,calvert,coi
ASV1767,species,Caulleriella,Eukaryota,Annelida,Polychaeta,Terebellida,Cirratulidae,unknown genus,Caulleriella,best hit,calvert,coi
ASV1768,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,calvert,coi
ASV1770,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1771,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,lca,calvert,coi
ASV1772,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1773,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,calvert,coi
ASV1775,species,Pseudocalanus acuspes,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus acuspes,best hit,calvert,coi
ASV1776,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1785,species,Dactylopusia sp. FHL 2,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Dactylopusiidae,Dactylopusia,Dactylopusia sp. FHL 2,best hit,calvert,coi
ASV1789,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1792,species,Pseudocalanus newmani,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani,best hit,calvert,coi
ASV1793,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1794,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV1798,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1799,species,Synchaeta pectinata,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta pectinata,lca,calvert,coi
ASV1801,species,Paleanotus bellis,Eukaryota,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,Paleanotus bellis,best hit,calvert,coi
ASV1803,species,Hippolyte clarki,Eukaryota,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Hippolyte,Hippolyte clarki,best hit,calvert,coi
ASV1805,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1808,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV1810,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,calvert,coi
ASV1811,species,Streblosoma pacifica,Eukaryota,Annelida,Polychaeta,Terebellida,Terebellidae,Streblosoma,Streblosoma pacifica,lca,calvert,coi
ASV1814,species,Glycinde armigera,Eukaryota,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,Glycinde armigera,best hit,calvert,coi
ASV1816,order,Ploima,Eukaryota,Rotifera,Eurotatoria,Ploima,no identification,no identification,no identification,lca,calvert,coi
ASV1818,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV182,species,Synchaeta pectinata,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta pectinata,lca,calvert,coi
ASV1820,species,Clytia,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,unknown genus,Clytia,best hit,calvert,coi
ASV1822,species,Pseudocalanus moultoni,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus moultoni,best hit,calvert,coi
ASV1825,species,Hippolyte clarki,Eukaryota,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Hippolyte,Hippolyte clarki,best hit,calvert,coi
ASV1828,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV1829,species,Cliona chilensis,Eukaryota,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,Cliona chilensis,best hit,calvert,coi
ASV1833,species,Pseudocalanus minutus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus minutus,best hit,calvert,coi
ASV1835,family,Clausocalanidae,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,no identification,no identification,lca,calvert,coi
ASV1836,class,Hexanauplia,Eukaryota,Arthropoda,Hexanauplia,no identification,no identification,no identification,no identification,lca,calvert,coi
ASV1837,species,Pseudocalanus acuspes,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus acuspes,lca,calvert,coi
ASV1839,species,Chthamalus dalli,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Chthamalidae,Chthamalus,Chthamalus dalli,best hit,calvert,coi
ASV1841,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1846,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV185,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV1850,species,Acartia longiremis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia longiremis,best hit,calvert,coi
ASV1853,class,Hexanauplia,Eukaryota,Arthropoda,Hexanauplia,no identification,no identification,no identification,no identification,lca,calvert,coi
ASV1861,species,Armandia brevis,Eukaryota,Annelida,Polychaeta,unknown order,Opheliidae,Armandia,Armandia brevis,best hit,calvert,coi
ASV1865,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,calvert,coi
ASV1868,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV1869,species,Polynoidae,Eukaryota,Annelida,Polychaeta,Phyllodocida,unknown family,unknown genus,Polynoidae,best hit,calvert,coi
ASV1872,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,lca,calvert,coi
ASV188,species,Metridia pacifica,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia pacifica,best hit,calvert,coi
ASV1885,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV189,species,Podon leuckartii,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Podon,Podon leuckartii,best hit,calvert,coi
ASV1890,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,calvert,coi
ASV1892,species,Polynoidae,Eukaryota,Annelida,Polychaeta,Phyllodocida,unknown family,unknown genus,Polynoidae,best hit,calvert,coi
ASV1894,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1897,species,Podon leuckartii,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Podon,Podon leuckartii,best hit,calvert,coi
ASV19,species,Synchaeta grimpei,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta grimpei,lca,calvert,coi
ASV190,species,Glycera americana,Eukaryota,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera americana,best hit,calvert,coi
ASV1901,species,Celleporella hyalina,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Hippothoidae,Celleporella,Celleporella hyalina,lca,calvert,coi
ASV1903,species,Pseudocalanus newmani,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani,best hit,calvert,coi
ASV1904,species,Prionospio steenstrupi,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio steenstrupi,best hit,calvert,coi
ASV1906,species,Amphipholis sp. AAD7203,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,Amphipholis sp. AAD7203,best hit,calvert,coi
ASV1907,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1908,species,Pseudocalanus acuspes,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus acuspes,best hit,calvert,coi
ASV191,species,Paracalanus sp. C AC-2013,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013,best hit,calvert,coi
ASV1911,species,Amphiascoides sp. FHL 1,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Amphiascoides,Amphiascoides sp. FHL 1,best hit,calvert,coi
ASV1915,species,Synchaeta baltica,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta baltica,lca,calvert,coi
ASV1918,species,Hippolyte clarki,Eukaryota,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Hippolyte,Hippolyte clarki,best hit,calvert,coi
ASV1919,species,Clytia,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,unknown genus,Clytia,best hit,calvert,coi
ASV1920,species,Calanus marshallae,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus marshallae,best hit,calvert,coi
ASV1922,species,Poecilostomatoida sp. BMBM-0966,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,unknown family,unknown genus,Poecilostomatoida sp. BMBM-0966,best hit,calvert,coi
ASV1925,species,Balanus glandula,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,best hit,calvert,coi
ASV1926,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1927,species,Polychaeta,Eukaryota,Annelida,unknown class,unknown order,unknown family,unknown genus,Polychaeta,best hit,calvert,coi
ASV1930,species,Acartia longiremis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia longiremis,best hit,calvert,coi
ASV1931,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV1932,species,Pleurobrachia bachei,Eukaryota,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,Pleurobrachia bachei,best hit,calvert,coi
ASV1935,species,Phoronopsis harmeri,Eukaryota,Phoronida,unknown class,unknown order,unknown family,Phoronopsis,Phoronopsis harmeri,best hit,calvert,coi
ASV1937,genus,Pseudocalanus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,no identification,lca,calvert,coi
ASV1942,species,Chthamalus dalli,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Chthamalidae,Chthamalus,Chthamalus dalli,best hit,calvert,coi
ASV1945,species,Spionidae,Eukaryota,Annelida,Polychaeta,Spionida,unknown family,unknown genus,Spionidae,best hit,calvert,coi
ASV1948,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1950,species,Balanus,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,unknown genus,Balanus,best hit,calvert,coi
ASV1958,species,Clytia,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,unknown genus,Clytia,best hit,calvert,coi
ASV1959,species,Pseudocalanus newmani,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani,best hit,calvert,coi
ASV196,species,Micropodarke dubia,Eukaryota,Annelida,Polychaeta,Phyllodocida,Hesionidae,Micropodarke,Micropodarke dubia,best hit,calvert,coi
ASV1960,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,calvert,coi
ASV1962,species,Centropages abdominalis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages abdominalis,best hit,calvert,coi
ASV1964,species,Acartia longiremis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia longiremis,best hit,calvert,coi
ASV1968,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1970,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,lca,calvert,coi
ASV1972,species,Amphiodia,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,unknown genus,Amphiodia,best hit,calvert,coi
ASV1973,species,Enteropneusta sp. USNM IZ 1523892,Eukaryota,Hemichordata,Enteropneusta,unknown order,unknown family,unknown genus,Enteropneusta sp. USNM IZ 1523892,best hit,calvert,coi
ASV1982,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1984,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1985,species,Paradactylopodia sp. FHL 1,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Dactylopusiidae,Paradactylopodia,Paradactylopodia sp. FHL 1,best hit,calvert,coi
ASV1991,species,Dodecaceria sp. CMC01,Eukaryota,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,Dodecaceria sp. CMC01,best hit,calvert,coi
ASV1992,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV1995,species,Ameira longipes,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Ameira,Ameira longipes,best hit,calvert,coi
ASV1998,order,Ploima,Eukaryota,Rotifera,Eurotatoria,Ploima,no identification,no identification,no identification,lca,calvert,coi
ASV20,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV2000,genus,Paracalanus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,no identification,lca,calvert,coi
ASV2003,species,Synchaeta grimpei,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta grimpei,lca,calvert,coi
ASV201,species,Glycera sp. CMC03,Eukaryota,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera sp. CMC03,best hit,calvert,coi
ASV2010,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,best hit,calvert,coi
ASV2018,species,Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,lca,calvert,coi
ASV2022,species,Pseudocalanus newmani,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani,best hit,calvert,coi
ASV2026,species,Tisbe sp. FHL 5,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Tisbidae,Tisbe,Tisbe sp. FHL 5,best hit,calvert,coi
