species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Brada sachalina,NA,Species,Annelida,Polychaeta,Terebellida,Flabelligeridae,Brada,TRUE,FALSE,FALSE,327264,327264,NA,NA
Guernea (Prinassus) reduncans,NA,Species,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Guernea,TRUE,FALSE,FALSE,489512,489512,NA,NA
Pista wui,NA,Species,Annelida,Polychaeta,Terebellida,Terebellidae,Pista,TRUE,FALSE,FALSE,330792,330792,205820,868041
Leptochiton rugatus,NA,Species,Mollusca,Polyplacophora,Lepidopleurida,Leptochitonidae,Leptochiton,TRUE,NA,NA,367856,367856,105264,413421
Geukensia demissa,NA,Species,Mollusca,Bivalvia,Mytilida,Mytilidae,Geukensia,TRUE,NA,NA,156859,156859,211965,27807
Cucumaria pseudocurata,NA,Species,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,TRUE,FALSE,FALSE,528844,528844,33453,42388
Gephyreaster swifti,NA,Species,Echinodermata,Asteroidea,Paxillosida,Pseudarchasteridae,Gephyreaster,TRUE,FALSE,FALSE,559194,559194,NA,478256
Pachycerianthus fimbriatus,NA,Species,Cnidaria,Anthozoa,Spirularia,Cerianthidae,Pachycerianthus,TRUE,NA,NA,283820,283820,526162,168765
Astrocles actinodetus,NA,Species,Echinodermata,Asteroidea,Brisingida,Freyellidae,Astrocles,TRUE,FALSE,FALSE,292869,292869,NA,NA
Amphicteis scaphobranchiata,NA,Species,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphicteis,TRUE,FALSE,FALSE,326344,326344,370427,NA
Dyopedos monacanthus,NA,Species,Arthropoda,Malacostraca,Amphipoda,Dulichiidae,Dyopedos,TRUE,FALSE,FALSE,489646,489646,NA,2268639
Allorchestes angusta,NA,Species,Arthropoda,Malacostraca,Amphipoda,Dogielinotidae,Allorchestes,TRUE,FALSE,FALSE,489543,489543,675393,1305602
Anguillosyllis palpata,NA,Species,Annelida,Polychaeta,Phyllodocida,Syllidae,Anguillosyllis,TRUE,NA,NA,756944,756944,NA,NA
Cylichna alba,NA,Species,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Cylichna,TRUE,FALSE,FALSE,139474,139474,468224,1421118
Boltenia villosa,NA,Species,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,TRUE,NA,FALSE,250073,250073,808591,63515
Pseudocnus lubricus,NA,Species,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Pseudocnus,TRUE,FALSE,FALSE,529633,529633,160326,NA
Weberella bursa,NA,Species,Porifera,Demospongiae,Polymastiida,Polymastiidae,Weberella,TRUE,FALSE,FALSE,134232,134232,239998,1391061
Barantolla americana,NA,Species,Annelida,Polychaeta,NA,Capitellidae,Barantolla,TRUE,FALSE,FALSE,254727,254727,204057,NA
Lacuna variegata,NA,Species,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,TRUE,NA,NA,446896,446896,600869,2172699
Carinoma mutabilis,NA,Species,Nemertea,Palaeonemertea,Carinomiformes,Carinomidae,Carinoma,TRUE,NA,FALSE,146917,146917,25875,187807
Pagurus dalli,NA,Species,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,TRUE,FALSE,FALSE,366676,366676,803355,2172708
Nucella lima,NA,Species,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,TRUE,FALSE,FALSE,404384,404384,174442,51632
Ampharete lineata,NA,Species,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,TRUE,FALSE,FALSE,744688,744688,NA,NA
Apistobranchus ornatus,NA,Species,Annelida,Polychaeta,Spionida,Apistobranchidae,Apistobranchus,TRUE,FALSE,FALSE,326532,326532,NA,NA
Arctonoe vittata,NA,Species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,TRUE,FALSE,FALSE,254301,254301,205763,862921
Melinna oculata,NA,Species,Annelida,Polychaeta,Terebellida,Melinnidae,Melinna,TRUE,FALSE,FALSE,329315,329315,299361,NA
Henricia leviuscula,Henricia leviuscula spiculifera,Subspecies,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,TRUE,FALSE,FALSE,369117,369120,NA,NA
Amphiodia occidentalis,NA,Species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,TRUE,FALSE,FALSE,242666,242666,140279,869200
Ophiura leptoctenia,NA,Species,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,TRUE,FALSE,FALSE,244279,244279,NA,NA
Praxillella affinis,Praxillella affinis pacifica,Subspecies,Annelida,Polychaeta,NA,Maldanidae,Praxillella,TRUE,FALSE,FALSE,130322,335640,NA,868044
Octopoteuthis deletron,NA,Species,Mollusca,Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis,TRUE,NA,FALSE,342057,342057,600845,1582096
Hapalogaster mertensii,NA,Species,Arthropoda,Malacostraca,Decapoda,Hapalogastridae,Hapalogaster,TRUE,FALSE,FALSE,590107,590107,NA,174386
Vilasina seminuda,NA,Species,Mollusca,Bivalvia,Mytilida,Mytilidae,Vilasina,TRUE,NA,NA,506194,506194,NA,NA
Levensteiniella intermedia,NA,Species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Levensteiniella,TRUE,FALSE,FALSE,328833,328833,NA,NA
Beroe forskalii,NA,Species,Ctenophora,Nuda,Beroida,Beroidae,Beroe,TRUE,FALSE,FALSE,106360,106360,NA,140453
Pseudopolydora diopatra,NA,Species,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,TRUE,FALSE,FALSE,331413,331413,NA,NA
Onuphis geophiliformis,NA,Species,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,TRUE,FALSE,FALSE,334274,334274,NA,NA
