found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Dasycottus setiger,Dasycottus setiger,accepted,Dasycottus setiger,NA,species,Actinopteri,Perciformes,Psychrolutidae,Dasycottus,TRUE,FALSE,FALSE,280488,280488,101082,274783,Aleutian Islands
Artedius harringtoni,Artedius harringtoni,accepted,Artedius harringtoni,NA,species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279701,279701,125642,433399,Aleutian Islands
Sebastes crameri,Sebastes crameri,accepted,Sebastes crameri,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274785,274785,10788,72067,Aleutian Islands
Allocareproctus ungak,Allocareproctus ungak,accepted,Allocareproctus ungak,NA,species,Actinopteri,Perciformes,Liparidae,Allocareproctus,TRUE,FALSE,FALSE,279559,279559,804234,NA,Aleutian Islands
Paraliparis pectoralis,Paraliparis pectoralis,accepted,Paraliparis pectoralis,NA,species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274604,274604,78116,557360,Aleutian Islands
Hypsagonus quadricornis,Hypsagonus quadricornis,accepted,Hypsagonus quadricornis,NA,species,Actinopteri,Perciformes,Agonidae,Hypsagonus,TRUE,FALSE,FALSE,254508,254508,101093,274775,Aleutian Islands
Sebastes reedi,Sebastes reedi,accepted,Sebastes reedi,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274840,274840,10787,394704,Aleutian Islands
Psychrolutes paradoxus,Psychrolutes paradoxus,accepted,Psychrolutes paradoxus,NA,species,Actinopteri,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,254566,254566,99721,980342,Aleutian Islands
Isopsetta isolepis,Isopsetta isolepis,accepted,Isopsetta isolepis,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,TRUE,FALSE,FALSE,281189,281189,101087,195617,Aleutian Islands
Careproctus rastrinus,Careproctus rastrinus,accepted,Careproctus rastrinus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274464,274464,59182,446788,Aleutian Islands
Icelus euryops,Icelus euryops,accepted,Icelus euryops,NA,species,Actinopteri,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,274379,274379,NA,NA,Aleutian Islands
Lycodes diapterus,Lycodes diapterus,accepted,Lycodes diapterus,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254597,254597,11378,215426,Aleutian Islands
Lycodes beringi,Lycodes beringi,accepted,Lycodes beringi,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,398582,398582,NA,215428,Aleutian Islands
Sebastolobus macrochir,Sebastolobus macrochir,accepted,Sebastolobus macrochir,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282742,282742,59157,98657,Aleutian Islands
