species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Hemitripterus bolini,NA,Species,NA,Scorpaeniformes,Hemitripteridae,Hemitripterus,TRUE,FALSE,FALSE,254541,254541,140829,470227
Morone saxatilis,NA,Species,Actinopteri,Eupercaria incertae sedis,Moronidae,Morone,TRUE,TRUE,TRUE,151179,151179,50672,34816
Artedius fenestralis,NA,Species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279700,279700,142500,274758
Clinocottus analis,NA,Species,Actinopteri,Perciformes,Cottidae,Clinocottus,TRUE,FALSE,FALSE,280219,280219,76456,304258
Triglops macellus,NA,Species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,274399,274399,140470,433386
Anisarchus medius,NA,Species,Actinopteri,Perciformes,Stichaeidae,Anisarchus,TRUE,FALSE,FALSE,127070,127070,59614,980385
Syngnathus californiensis,NA,Species,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,TRUE,FALSE,FALSE,275218,275218,125551,320413
Rhacochilus toxotes,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Rhacochilus,TRUE,FALSE,FALSE,282575,282575,140737,100202
Lamna ditropis,NA,Species,Elasmobranchii,Lamniformes,Lamnidae,Lamna,TRUE,FALSE,FALSE,271421,271421,59204,38578
Hypomesus pretiosus,NA,Species,Actinopteri,Osmeriformes,Osmeridae,Hypomesus,TRUE,TRUE,FALSE,279422,279422,125619,300346
Hysterocarpus traskii,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Hysterocarpus,FALSE,TRUE,TRUE,293619,293619,279331,100196
Prionace glauca,NA,Species,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,TRUE,TRUE,FALSE,105801,105801,12783,7815
Trachurus symmetricus,NA,Species,Actinopteri,Carangiformes,Carangidae,Trachurus,TRUE,FALSE,FALSE,273305,273305,58295,271940
Lepidogobius lepidus,NA,Species,Actinopteri,Gobiiformes,Gobiidae,Lepidogobius,TRUE,FALSE,FALSE,281292,281292,125624,185746
Pholis ornata,NA,Species,Actinopteri,Perciformes,Pholidae,Pholis,TRUE,FALSE,FALSE,273692,273692,125502,283028
Lampanyctus regalis,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,301545,301545,NA,91654
Atherinops affinis,NA,Species,Actinopteri,Atheriniformes,Atherinidae,Atherinops,TRUE,TRUE,FALSE,279812,279812,28060,238741
Gibbonsia metzi,NA,Species,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,TRUE,FALSE,FALSE,280835,280835,606344,57802
Gambusia affinis,NA,Species,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,FALSE,TRUE,TRUE,159325,159325,10908,33528
Eptatretus stoutii,NA,Species,Myxini,Myxiniformes,Myxinidae,Eptatretus,TRUE,FALSE,FALSE,279298,279298,60117,7765
Sebastes ciliatus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274782,274782,140880,72065
Liparis florae,NA,Species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274513,274513,125573,320618
Peprilus simillimus,NA,Species,Actinopteri,Perciformes,Stromateidae,Peprilus,TRUE,FALSE,FALSE,276563,276563,125550,320412
Anoplarchus insignis,NA,Species,Actinopteri,Perciformes,Stichaeidae,Anoplarchus,TRUE,FALSE,FALSE,279632,279632,125605,1225888
Bathylagoides wesethi,NA,Species,Actinopteri,Argentiniformes,Bathylagidae,Bathylagoides,TRUE,FALSE,FALSE,712444,712444,495757,875769
Cebidichthys violaceus,NA,Species,Actinopteri,Perciformes,Stichaeidae,Cebidichthys,TRUE,FALSE,FALSE,280053,280053,125645,271503
Cyclothone acclinidens,NA,Species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,127282,127282,76495,48441
Psychrolutes sigalutes,NA,Species,Actinopteri,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,274679,274679,560388,557364
Argentina sialis,NA,Species,Actinopteri,Argentiniformes,Argentinidae,Argentina,TRUE,TRUE,FALSE,272897,272897,71904,260512
Bothrocara brunneum,NA,Species,Actinopteri,Perciformes,Zoarcidae,Bothrocara,TRUE,FALSE,FALSE,279397,279397,33942,557338
Xeneretmus leiops,NA,Species,Actinopteri,Perciformes,Agonidae,Xeneretmus,TRUE,FALSE,FALSE,283172,283172,71899,299564
Liparis dennyi,NA,Species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,254550,254550,142501,433403
Nautichthys oculofasciatus,NA,Species,NA,Scorpaeniformes,Hemitripteridae,Nautichthys,TRUE,FALSE,FALSE,254542,254542,99713,428032
Mylocheilus caurinus,NA,Species,Actinopteri,Cypriniformes,Cyprinidae,Mylocheilus,FALSE,TRUE,TRUE,281605,281605,88725,86918
Melanostigma pammelas,NA,Species,Actinopteri,Perciformes,Zoarcidae,Melanostigma,TRUE,FALSE,FALSE,274134,274134,33999,557412
Benthalbella dentata,NA,Species,Actinopteri,Aulopiformes,Scopelarchidae,Benthalbella,TRUE,FALSE,FALSE,254572,254572,NA,433385
Sebastes semicinctus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274851,274851,160593,320568
Ascelichthys rhodorus,NA,Species,Actinopteri,Perciformes,Cottidae,Ascelichthys,TRUE,FALSE,FALSE,279706,279706,784709,1738886
Clevelandia ios,NA,Species,Actinopteri,Gobiiformes,Gobiidae,Clevelandia,TRUE,TRUE,FALSE,280215,280215,NA,185732
Spirinchus starksi,NA,Species,Actinopteri,Osmeriformes,Osmeridae,Spirinchus,TRUE,FALSE,FALSE,282843,282843,47320,443727
Alepocephalus tenebrosus,NA,Species,Actinopteri,Alepocephaliformes,Alepocephalidae,Alepocephalus,TRUE,FALSE,FALSE,272849,272849,30297,170189
Clinocottus recalvus,NA,Species,Actinopteri,Perciformes,Cottidae,Clinocottus,TRUE,FALSE,FALSE,280222,280222,125649,283633
Sebastes rastrelliger,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274839,274839,160602,72095
Tetronarce californica,NA,Species,Elasmobranchii,Torpediniformes,Torpedinidae,Tetronarce,TRUE,FALSE,FALSE,845703,845703,NA,7787
Nannobrachium regale,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Nannobrachium,TRUE,FALSE,FALSE,275869,275869,34559,91654
Prosopium cylindraceum,NA,Species,Actinopteri,Salmoniformes,Salmonidae,Prosopium,FALSE,TRUE,TRUE,282373,282373,10574,348696
Semicossyphus pulcher,NA,Species,Actinopteri,Eupercaria incertae sedis,Labridae,Semicossyphus,TRUE,FALSE,FALSE,282753,282753,52784,241346
Oxylebius pictus,NA,Species,Actinopteri,Perciformes,Hexagrammidae,Oxylebius,TRUE,FALSE,FALSE,240743,240743,76502,283620
Sebastes hopkinsi,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274800,274800,160594,72080
Icelinus tenuis,NA,Species,Actinopteri,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281142,281142,125620,433394
Sagamichthys abei,NA,Species,Actinopteri,Alepocephaliformes,Platytroctidae,Sagamichthys,TRUE,FALSE,FALSE,234630,234630,33975,319782
