verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Prionurus punctatus,Prionurus punctatus,accepted,Prionurus punctatus,NA,species,Actinopteri,Acanthuriformes,Acanthuridae,Prionurus,TRUE,FALSE,FALSE,282349,282349,91553,1316016,California Current
Gymnura marmorata,Gymnura marmorata,accepted,Gymnura marmorata,NA,species,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,TRUE,FALSE,FALSE,271479,271479,76498,86361,California Current
Gempylus serpens,Gempylus serpens,accepted,Gempylus serpens,NA,species,Actinopteri,Scombriformes,Gempylidae,Gempylus,TRUE,FALSE,FALSE,126862,126862,59175,13543,California Current
Abudefduf declivifrons,Abudefduf declivifrons,accepted,Abudefduf declivifrons,NA,species,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Abudefduf,TRUE,FALSE,FALSE,273698,273698,71626,36215,California Current
Saccopharynx lavenbergi,Saccopharynx lavenbergi,accepted,Saccopharynx lavenbergi,NA,species,Actinopteri,Saccopharyngiformes,Saccopharyngidae,Saccopharynx,TRUE,FALSE,FALSE,274336,274336,NA,136490,California Current
Agonopsis sterletus,Agonopsis sterletus,accepted,Agonopsis sterletus,NA,species,Actinopteri,Perciformes,Agonidae,Agonopsis,TRUE,FALSE,FALSE,279521,279521,125578,740689,California Current
Esselenichthys laurae,Esselenichthys laurae,accepted,Esselenichthys laurae,NA,species,Actinopteri,Perciformes,Stichaeidae,Esselenichthys,TRUE,FALSE,FALSE,280719,280719,NA,NA,California Current
Lampanyctus niger,Lampanyctus niger,accepted,Lampanyctus niger,NA,species,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,301537,301537,NA,NA,California Current
Poromitra curilensis,Poromitra curilensis,accepted,Poromitra curilensis,NA,species,Actinopteri,Beryciformes,Melamphaidae,Poromitra,TRUE,FALSE,FALSE,474945,474945,NA,1828457,California Current
Kyphosus azureus,Kyphosus azureus,accepted,Kyphosus azureus,NA,species,Actinopteri,Centrarchiformes,Kyphosidae,Kyphosus,TRUE,FALSE,FALSE,1019728,1019728,758036,NA,California Current
Hypanus dipterurus,Hypanus dipterurus,accepted,Hypanus dipterurus,NA,species,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,TRUE,FALSE,FALSE,1042857,1042857,779390,2488746,California Current
Gonostoma atlanticum,Gonostoma atlanticum,accepted,Gonostoma atlanticum,NA,species,Actinopteri,Stomiiformes,Gonostomatidae,Gonostoma,TRUE,FALSE,FALSE,127293,127293,140878,48456,California Current
Lestidium atlanticum,Lestidium atlanticum,accepted,Lestidium atlanticum,NA,species,Actinopteri,Aulopiformes,Paralepididae,Lestidium,TRUE,FALSE,FALSE,158871,158871,140890,172140,California Current
Synodus lacertinus,Synodus lacertinus,accepted,Synodus lacertinus,NA,species,Actinopteri,Aulopiformes,Synodontidae,Synodus,TRUE,FALSE,FALSE,272130,272130,125552,320414,California Current
Pteraclis aesticola,Pteraclis aesticola,accepted,Pteraclis aesticola,NA,species,Actinopteri,Scombriformes,Bramidae,Pteraclis,TRUE,FALSE,FALSE,273151,273151,159998,1219345,California Current
Bodianus diplotaenia,Bodianus diplotaenia,accepted,Bodianus diplotaenia,NA,species,Actinopteri,Eupercaria incertae sedis,Labridae,Bodianus,TRUE,FALSE,FALSE,273527,273527,11546,1182146,California Current
