"","accepted_name","verbatim_species","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","region","fishbase_name"
"3187","Urobatis maculatus","Urobatis maculatus","accepted","Urobatis maculatus",NA,"species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis",TRUE,FALSE,FALSE,283087,1213718,"Southern California Bight","Urobatis maculatus"
"3188","Zameus squamulosus","Zameus squamulosus","accepted","Zameus squamulosus",NA,"species","Elasmobranchii","Squaliformes","Somniosidae","Zameus",TRUE,FALSE,FALSE,283206,335010,"Southern California Bight","Zameus squamulosus"
"3189","Lampanyctus idostigma","Lampanyctus idostigma","accepted","Lampanyctus idostigma",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus",TRUE,FALSE,FALSE,301525,NA,"Southern California Bight","Lampanyctus idostigma"
"3190","Kali kerberti","Kali kerberti","accepted","Kali kerberti",NA,"species","Actinopteri","Scombriformes","Chiasmodontidae","Kali",TRUE,FALSE,FALSE,302801,1311455,"Southern California Bight","Kali kerberti"
"3191","Dactyloscopus heraldi","Dactyloscopus heraldi","accepted","Dactyloscopus heraldi",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Dactyloscopus",TRUE,FALSE,FALSE,712827,NA,"Southern California Bight","Dactyloscopus heraldi"
"3192","Galeocerdo cuvier","Galeocerdo cuvier","accepted","Galeocerdo cuvier",NA,"species","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Galeocerdo",TRUE,TRUE,FALSE,105799,7819,"Southern California Bight","Galeocerdo cuvier"
"3193","Hypanus dipterurus","Hypanus dipterurus","accepted","Hypanus dipterurus",NA,"species","Elasmobranchii","Myliobatiformes","Dasyatidae","Hypanus",TRUE,FALSE,FALSE,1042857,2488746,"Southern California Bight","Hypanus dipterurus"
"3194","Derichthys serpentinus","Derichthys serpentinus","accepted","Derichthys serpentinus",NA,"species","Actinopteri","Anguilliformes","Derichthyidae","Derichthys",TRUE,FALSE,FALSE,126291,391192,"Southern California Bight","Derichthys serpentinus"
"3195","Hirundichthys rondeletii","Hirundichthys rondeletii","accepted","Hirundichthys rondeletii",NA,"species","Actinopteri","Beloniformes","Exocoetidae","Hirundichthys",TRUE,FALSE,FALSE,126386,454056,"Southern California Bight","Hirundichthys rondeletii"
"3196","Benthosema suborbitale","Benthosema suborbitale","accepted","Benthosema suborbitale",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Benthosema",TRUE,FALSE,FALSE,126581,123335,"Southern California Bight","Benthosema suborbitale"
"3197","Platytroctes apus","Platytroctes apus","accepted","Platytroctes apus",NA,"species","Actinopteri","Alepocephaliformes","Platytroctidae","Platytroctes",TRUE,FALSE,FALSE,126746,170202,"Southern California Bight","Platytroctes apus"
"3198","Katsuwonus pelamis","Katsuwonus pelamis","accepted","Katsuwonus pelamis",NA,"species","Actinopteri","Scombriformes","Scombridae","Katsuwonus",TRUE,FALSE,FALSE,127018,8226,"Southern California Bight","Katsuwonus pelamis"
"3199","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","accepted","Reinhardtius hippoglossoides",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Reinhardtius",TRUE,FALSE,FALSE,127144,111784,"Southern California Bight","Reinhardtius hippoglossoides"
"3200","Poecilia reticulata","Poecilia reticulata","accepted","Poecilia reticulata",NA,"species","Actinopteri","Cyprinodontiformes","Poeciliidae","Poecilia",FALSE,TRUE,TRUE,154400,8081,"Southern California Bight","Poecilia reticulata"
"3201","Sudis atrox","Sudis atrox","accepted","Sudis atrox",NA,"species","Actinopteri","Aulopiformes","Paralepididae","Sudis",TRUE,FALSE,FALSE,158752,509852,"Southern California Bight","Sudis atrox"
"3202","Etropus crossotus","Etropus crossotus","accepted","Etropus crossotus",NA,"species","Actinopteri","Pleuronectiformes","Paralichthyidae","Etropus",TRUE,TRUE,FALSE,158799,253860,"Southern California Bight","Etropus crossotus"
"3203","Lampanyctus nobilis","Lampanyctus nobilis","accepted","Lampanyctus nobilis",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus",TRUE,FALSE,FALSE,158897,123241,"Southern California Bight","Lampanyctus nobilis"
"3204","Dolopichthys pullatus","Dolopichthys pullatus","accepted","Dolopichthys pullatus",NA,"species","Actinopteri","Lophiiformes","Oneirodidae","Dolopichthys",TRUE,FALSE,FALSE,159205,NA,"Southern California Bight","Dolopichthys pullatus"
"3205","Gymnothorax dovii","Gymnothorax dovii","accepted","Gymnothorax dovii",NA,"species","Actinopteri","Anguilliformes","Muraenidae","Gymnothorax",TRUE,FALSE,FALSE,271831,NA,"Southern California Bight","Gymnothorax dovii"
"3206","Hirundichthys marginatus","Hirundichthys marginatus","accepted","Hirundichthys marginatus",NA,"species","Actinopteri","Beloniformes","Exocoetidae","Hirundichthys",TRUE,FALSE,FALSE,272170,293903,"Southern California Bight","Hirundichthys marginatus"
"3207","Protomyctophum thompsoni","Protomyctophum thompsoni","accepted","Protomyctophum thompsoni",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Protomyctophum",TRUE,FALSE,FALSE,272732,123331,"Southern California Bight","Protomyctophum thompsoni"
"3208","Apogon retrosella","Apogon retrosella","accepted","Apogon retrosella",NA,"species","Actinopteri","Kurtiformes","Apogonidae","Apogon",TRUE,FALSE,FALSE,273084,1431508,"Southern California Bight","Apogon retrosella"
"3209","Trachinotus kennedyi","Trachinotus kennedyi","accepted","Trachinotus kennedyi",NA,"species","Actinopteri","Carangiformes","Carangidae","Trachinotus",TRUE,TRUE,FALSE,273292,NA,"Southern California Bight","Trachinotus kennedyi"
