found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,genusid
Clathrodrillia dautzenbergi,Clathrodrillia dautzenbergi,accepted,Clathrodrillia dautzenbergi,NA,species,Mollusca,Gastropoda,Neogastropoda,Drilliidae,Clathrodrillia,TRUE,NA,NA,432689,432689,NA,NA,415210
Bellaspira grippi,Bellaspira grippi,accepted,Bellaspira grippi,NA,species,Mollusca,Gastropoda,Neogastropoda,Drilliidae,Bellaspira,TRUE,NA,NA,433128,433128,NA,NA,153902
Microcancilla jonasi,Microcancilla jonasi,accepted,Microcancilla jonasi,NA,species,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Microcancilla,TRUE,NA,NA,457154,457154,NA,NA,456466
Formosocellaria magnifica,Formosocellaria magnifica,accepted,Formosocellaria magnifica,NA,species,Bryozoa,Gymnolaemata,Cheilostomatida,Cellariidae,Formosocellaria,TRUE,FALSE,FALSE,471330,471330,NA,NA,182868
Marcusadorea corderoi,Marcusadorea corderoi,accepted,Marcusadorea corderoi,NA,species,Bryozoa,Gymnolaemata,Cheilostomatida,Marcusadoreidae,Marcusadorea,TRUE,FALSE,FALSE,472569,472569,NA,NA,468820
Cardites floridanus,Cardites floridanus,accepted,Cardites floridanus,NA,species,Mollusca,Bivalvia,Carditida,Carditidae,Cardites,TRUE,NA,NA,504861,504861,NA,2108410,225639
Eulimastoma surinamense,Eulimastoma surinamense,accepted,Eulimastoma surinamense,NA,species,Mollusca,Gastropoda,NA,Pyramidellidae,Eulimastoma,TRUE,NA,NA,532814,532814,NA,NA,415366
Turbonilla deboeri,Turbonilla deboeri,accepted,Turbonilla deboeri,NA,species,Mollusca,Gastropoda,NA,Pyramidellidae,Turbonilla,TRUE,NA,NA,533550,533550,NA,NA,138421
Eurypyrene ledaluciae,Eurypyrene ledaluciae,accepted,Eurypyrene ledaluciae,NA,species,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Eurypyrene,TRUE,NA,NA,747305,747305,NA,NA,747304
Syntomodrillia portoricana,Syntomodrillia portoricana,accepted,Syntomodrillia portoricana,NA,species,Mollusca,Gastropoda,Neogastropoda,Drilliidae,Syntomodrillia,TRUE,NA,NA,872249,872249,NA,NA,432564
Paulita tuberculata,Paulita tuberculata,accepted,Paulita tuberculata,NA,species,Arthropoda,Malacostraca,Decapoda,Inachoididae,Paulita,TRUE,FALSE,FALSE,878586,878586,NA,NA,878585
Calyptotheca ornatissima,Calyptotheca ornatissima,accepted,Calyptotheca ornatissima,NA,species,Bryozoa,Gymnolaemata,Cheilostomatida,Lanceoporidae,Calyptotheca,TRUE,NA,NA,1012013,1012013,NA,NA,110934
Timarete ceciliae,Timarete ceciliae,accepted,Timarete ceciliae,NA,species,Annelida,Polychaeta,Terebellida,Cirratulidae,Timarete,TRUE,FALSE,FALSE,1581971,1581971,NA,NA,129250
Hymenodora gracilis,Hymenodora gracilis,accepted,Hymenodora gracilis,NA,species,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Hymenodora,TRUE,FALSE,FALSE,107591,107591,606097,1582871,107021
Stichastrella rosea,Stichastrella rosea,accepted,Stichastrella rosea,NA,species,Echinodermata,Asteroidea,Forcipulatida,Stichasteridae,Stichastrella,TRUE,FALSE,FALSE,123813,123813,218312,1933101,123229
Ceratocymba dentata,Ceratocymba dentata,accepted,Ceratocymba dentata,NA,species,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Ceratocymba,TRUE,FALSE,FALSE,135405,135405,455813,NA,135354
Cerithiella enodis,Cerithiella enodis,accepted,Cerithiella enodis,NA,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Newtoniellidae,Cerithiella,TRUE,NA,NA,139070,139070,NA,NA,137763
Dentimargo,Dentimargo,accepted,NA,NA,genus,Mollusca,Gastropoda,Neogastropoda,Marginellidae,Dentimargo,TRUE,FALSE,FALSE,NA,160256,NA,NA,160256
Octopoteuthis sicula,Octopoteuthis sicula,accepted,Octopoteuthis sicula,NA,species,Mollusca,Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis,TRUE,NA,FALSE,181379,181379,479263,283060,138271
Eupronoe,Eupronoe,accepted,NA,NA,genus,Arthropoda,Malacostraca,Amphipoda,Eupronoidae,Eupronoe,TRUE,FALSE,FALSE,NA,236626,NA,371524,236626
Herdmania pallida,Herdmania pallida,accepted,Herdmania pallida,NA,species,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Herdmania,TRUE,NA,FALSE,250697,250697,714174,NA,233993
Amphicteis scaphobranchiata,Amphicteis scaphobranchiata,accepted,Amphicteis scaphobranchiata,NA,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphicteis,TRUE,FALSE,FALSE,326344,326344,370427,NA,129156
Fustiaria stenoschiza,Fustiaria stenoschiza,accepted,Fustiaria stenoschiza,NA,species,Mollusca,Scaphopoda,Dentaliida,Fustiariidae,Fustiaria,TRUE,NA,NA,344264,344264,NA,NA,138023
Kolocheres angustus,Kolocheres angustus,accepted,Kolocheres angustus,NA,species,Arthropoda,Copepoda,Siphonostomatoida,Asterocheridae,Kolocheres,TRUE,FALSE,FALSE,361431,361431,NA,NA,347353
Gadila simpsoni,Gadila simpsoni,accepted,Gadila simpsoni,NA,species,Mollusca,Scaphopoda,Gadilida,Gadilidae,Gadila,TRUE,NA,NA,378858,378858,NA,NA,138026
