found_taxa,worms_name,verbatim_name,gbif_name,ncbi_name,ncbi_commonname,gbif_usagekey,ncbi_uid,gbif_status,worms_aphiaid,worms_status,freshwater_only,kingdom,phylum,class,order,family,genus
Salmo labrax,Salmo labrax,Salmo labrax,Salmo labrax,Salmo labrax,Black sea salmon,2351566,700588,accepted,274350,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salvelinus leucomaenis japonicus,NA,Salvelinus leucomaenis japonicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus malma,Salvelinus malma,Salvelinus malma,Salvelinus malma,Salvelinus malma,Dolly Varden,4284020,8039,accepted,254570,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salmo obtusirostris,Salmo obtusirostris,Salmo obtusirostris,Salmo obtusirostris,Salmo obtusirostris,Adriatic trout,2351604,237411,accepted,994325,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salvelinus leucomaenis pluvius,NA,Salvelinus leucomaenis pluvius,Salvelinus leucomaenis pluvius,Salvelinus leucomaenis pluvius,,6169567,8035,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus kuznetzovi,Salvelinus kuznetzovi,Salvelinus kuznetzovi,Salvelinus kuznetzovi,Salvelinus kuznetzovi,,2351257,565044,accepted,1015622,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Parahucho perryi,Parahucho perryi,Parahucho perryi,Parahucho perryi,Parahucho perryi,Japanese huchen,2351406,8042,accepted,320038,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Parahucho
Salmo trutta fario,NA,Salmo trutta fario,Salmo trutta fario,Salmo trutta fario,river trout,6169666,99804,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salvelinus albus,Salvelinus albus,Salvelinus albus,Salvelinus albus,Salvelinus albus,white char,2351278,83385,accepted,274351,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salmo trutta trutta,NA,Salmo trutta trutta,Salmo trutta trutta,Salmo trutta trutta,sea trout,9107781,227976,accepted,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salvelinus malma malma,NA,Salvelinus malma malma,Salvelinus malma malma,Salvelinus malma malma,,7059130,85063,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus alpinus erythrinus,NA,Salvelinus alpinus erythrinus,Salvelinus alpinus erythrinus,Salvelinus alpinus erythrinus,davatchan,6169563,85062,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus levanidovi,Salvelinus levanidovi,Salvelinus levanidovi,Salvelinus levanidovi,Salvelinus levanidovi,,2351320,230553,accepted,274354,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus leucomaenis leucomaenis,NA,Salvelinus leucomaenis leucomaenis,Salvelinus leucomaenis leucomaenis,Salvelinus leucomaenis leucomaenis,,7059129,423369,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus leucomaenis imbrius,NA,Salvelinus leucomaenis imbrius,Salvelinus leucomaenis imbrius,Salvelinus leucomaenis imbrius,,6169569,423370,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus curilus,Salvelinus curilus,Salvelinus curilus,Salvelinus curilus,Salvelinus curilus,,2351251,374848,accepted,1026965,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salmo ischchan,Salmo ischchan,Salmo ischchan,Salmo ischchan,Salmo ischchan,,2351641,1035833,accepted,1019744,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salmo ischchan gegarkuni,NA,Salmo ischchan gegarkuni,Salmo ischchan gegarkuni,Salmo ischchan gegarkuni,,6169669,2109336,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salvelinus alpinus,Salvelinus alpinus,Salvelinus alpinus,Salvelinus alpinus,Salvelinus alpinus,Arctic char,4284021,8036,accepted,127188,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus kronocius,Salvelinus kronocius,Salvelinus kronocius,Salvelinus kronocius,Salvelinus kronocius,,2351295,359312,accepted,1012527,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus alpinus alpinus,NA,Salvelinus alpinus alpinus,Salvelinus alpinus alpinus,Salvelinus alpinus alpinus,,7193472,85061,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus drjagini,Salvelinus drjagini,Salvelinus drjagini,Salvelinus drjagini,Salvelinus drjagini,Dryanin's char,2351250,152110,accepted,1014827,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salmo caspius,Salmo caspius,Salmo caspius,Salmo caspius,Salmo caspius,Caspian trout,4352748,602068,accepted,305961,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salvelinus schmidti,Salvelinus schmidti,Salvelinus schmidti,Salvelinus schmidti,Salvelinus schmidti,,2351325,359311,accepted,1012591,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Chinook salmon,5204024,74940,accepted,158075,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Salvelinus taranetzi,Salvelinus taranetzi,Salvelinus taranetzi,Salvelinus taranetzi,Salvelinus taranetzi,,2351290,152113,accepted,274355,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvethymus svetovidovi,Salvethymus svetovidovi,Salvethymus svetovidovi,Salvethymus svetovidovi,Salvethymus svetovidovi,long-finned charr,2351420,152109,accepted,1011402,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvethymus
Salvelinus elgyticus,Salvelinus elgyticus,Salvelinus elgyticus,Salvelinus elgyticus,Salvelinus elgyticus,small-mouth char,2351242,152107,accepted,1012296,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus boganidae,Salvelinus boganidae,Salvelinus boganidae,Salvelinus boganidae,Salvelinus boganidae,Boganida char,2351294,152106,accepted,1016234,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus confluentus,Salvelinus confluentus,Salvelinus confluentus,Salvelinus confluentus,Salvelinus confluentus,bull trout,2351244,8037,accepted,274352,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus namaycush,Salvelinus namaycush,Salvelinus namaycush,Salvelinus namaycush,Salvelinus namaycush,lake trout,2351327,8040,accepted,567548,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus malma miyabei,NA,Salvelinus malma miyabei,Salvelinus malma miyabei,Salvelinus malma miyabei,,6169576,423371,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus malma lordi,NA,Salvelinus malma lordi,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus sp. 4 ADK-2017,NA,Salvelinus sp. 4 ADK-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Oncorhynchus nerka,Oncorhynchus nerka,Oncorhynchus nerka,Oncorhynchus nerka,Oncorhynchus nerka,sockeye salmon,5204039,8023,accepted,254569,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Brachymystax lenok tsinlingensis,NA,Brachymystax lenok tsinlingensis,Brachymystax lenok tsinlingensis,Brachymystax lenok tsinlingensis,Tsinling lenok trout,6169590,1115630,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Brachymystax
